strain	accession	date	region	country	location
G23189	198	2020-03-04	North America	USA	community B
G23191	3106	2020-03-05	North America	USA	community B
G23209	663	2020-03-28	North America	USA	community B
G23211	3418	2020-03-28	North America	USA	community B
G23219	4676	2020-03-07	North America	USA	community B
G23236	2337	2020-03-27	North America	USA	community B
G23237	2147	2020-03-28	North America	USA	community B
G23238	2808	2020-03-12	North America	USA	community B
G23244	9887	2020-03-19	North America	USA	community B
G23253	685	2020-03-10	North America	USA	community B
G23265	8257	2020-03-17	North America	USA	community B
G23284	3803	2020-03-28	North America	USA	community B
G23285	2997	2020-03-09	North America	USA	community B
G23297	850	2020-03-27	North America	USA	community B
G23314	5104	2020-03-28	North America	USA	community B
G23315	5143	2020-03-28	North America	USA	community B
G23333	4615	2020-03-10	North America	USA	community B
G23336	7922	2020-03-07	North America	USA	community B
G23344	8250	2020-03-31	North America	USA	community B
G23346	110	2020-03-12	North America	USA	community B
G23356	2468	2020-03-25	North America	USA	community B
G23377	3655	2020-03-15	North America	USA	community B
G23383	2381	2020-03-20	North America	USA	community B
G23384	2603	2020-03-25	North America	USA	community B
G23387	1721	2020-03-12	North America	USA	community B
G23414	5646	2020-03-27	North America	USA	community B
G23439	6422	2020-03-20	North America	USA	community B
G23459	6073	2020-03-12	North America	USA	community B
G23461	9412	2020-03-28	North America	USA	community B
G23470	4196	2020-03-10	North America	USA	community B
G23471	265	2020-03-28	North America	USA	community B
G23478	6855	2020-03-21	North America	USA	community B
G23486	2126	2020-03-12	North America	USA	community B
G23500	6608	2020-03-06	North America	USA	community B
G23511	2114	2020-03-10	North America	USA	community B
G23517	5823	2020-03-25	North America	USA	community B
G23524	6555	2020-03-31	North America	USA	community B
G23542	7197	2020-03-28	North America	USA	community B
G23550	7514	2020-03-18	North America	USA	community B
G23557	4620	2020-03-20	North America	USA	community B
G23565	1823	2020-03-13	North America	USA	community B
G23566	1311	2020-03-30	North America	USA	community B
G23571	2571	2020-03-30	North America	USA	community B
G23575	9990	2020-03-08	North America	USA	community B
G23578	4277	2020-03-31	North America	USA	community B
G23591	7069	2020-03-09	North America	USA	community B
G23594	4546	2020-03-05	North America	USA	community B
G23630	7880	2020-03-31	North America	USA	community B
G23641	1198	2020-03-12	North America	USA	community B
G23642	941	2020-03-28	North America	USA	community B
G23651	7349	2020-03-15	North America	USA	community B
G23660	5936	2020-03-04	North America	USA	community B
